date,location,hosp_patients,total_beds,icu_patients,total_resp,total_quarantine,total_nadzor
2021-03-06,Polska,16861,26895.0,1769.0,2641.0,227988,0
2021-03-07,Polska,17337,26900.0,1838.0,2642.0,219104,0
2021-03-08,Polska,18105,27122.0,1837.0,2687.0,245202,0
2021-03-09,Polska,18378,27354.0,1902.0,2702.0,250598,0
2021-03-10,Polska,18683,27487.0,1929.0,2736.0,276477,0
2021-03-11,Polska,19102,27597.0,1982.0,2765.0,299942,0
2021-03-12,Polska,19541,28075.0,2011.0,2830.0,310551,0
2021-03-13,Polska,19654,28347.0,2077.0,2850.0,292772,0
2021-03-14,Polska,20249,28473.0,2084.0,2882.0,280008,0
2021-03-15,Polska,21183,29304.0,2139.0,2959.0,314744,0
2021-03-16,Polska,21511,29955.0,2193.0,2979.0,327953,0
2021-03-17,Polska,21858,30698.0,2190.0,3021.0,356227,0
2021-03-18,Polska,22567,31636.0,2245.0,3071.0,383721,0
2021-03-19,Polska,23293,32713.0,2315.0,3154.0,396680,0
2021-03-20,Polska,23583,33083.0,2360.0,3211.0,370067,0
2021-03-21,Polska,24637,33178.0,2421.0,3228.0,351928,0
2021-03-22,Polska,26075,34758.0,2512.0,3297.0,351928,0
2021-03-23,Polska,26511,35444.0,2537.0,3366.0,396701,0
2021-03-24,Polska,27118,36231.0,2620.0,3473.0,434991,0
2021-03-25,Polska,27779,37084.0,2730.0,3554.0,461317,0
2021-03-26,Polska,28574,37961.0,2823.0,3653.0,480926,0
2021-03-27,Polska,29071,38443.0,2894.0,3716.0,446762,0
2021-03-28,Polska,29920,38930.0,2985.0,3773.0,446762,0
2021-03-29,Polska,31071,40256.0,3054.0,3889.0,454738,0
2021-03-30,Polska,31311,40851.0,3093.0,3961.0,449126,0
2021-03-31,Polska,31811,41272.0,3143.0,4013.0,468310,0
2021-04-01,Polska,31955,42377.0,3157.0,4157.0,478914,0
2021-04-02,Polska,32260,43001.0,3209.0,4176.0,467178,0
2021-04-03,Polska,31927,43789.0,3225.0,4199.0,435354,0
2021-04-04,Polska,32656,43930.0,3269.0,4213.0,412774,0
2021-04-05,Polska,33544,44066.0,3315.0,4245.0,394442,0
2021-04-06,Polska,34691,44440.0,3342.0,4251.0,414474,0
2021-04-07,Polska,34864,44878.0,3362.0,4293.0,433346,0
2021-04-08,Polska,34550,45130.0,3376.0,4326.0,439436,0
2021-04-09,Polska,34167,45436.0,3373.0,4386.0,430830,0
2021-04-10,Polska,33460,45664.0,3459.0,4445.0,394193,0
2021-04-11,Polska,33990,45675.0,3483.0,4454.0,362823,0
2021-04-12,Polska,34619,45726.0,3513.0,4450.0,367577,0
2021-04-13,Polska,33906,45843.0,3457.0,4506.0,357099,0
2021-04-14,Polska,33253,45869.0,3443.0,4503.0,352951,0
2021-04-15,Polska,32781,45858.0,3425.0,4557.0,348056,0
2021-04-16,Polska,32073,45918.0,3372.0,4552.0,334797,0
2021-04-17,Polska,31270,45852.0,3359.0,4547.0,292124,0
2021-04-18,Polska,31612,45909.0,3346.0,4557.0,265383,0
2021-04-19,Polska,31938,45949.0,3287.0,4536.0,262571,0
2021-04-20,Polska,30706,45825.0,3265.0,4540.0,253075,0
2021-04-21,Polska,29831,45814.0,3229.0,4546.0,252098,0
2021-04-22,Polska,28994,45544.0,3223.0,4525.0,250248,0
2021-04-23,Polska,28128,45396.0,3195.0,4532.0,241679,0
2021-04-24,Polska,27336,45098.0,3185.0,4521.0,216922,0
2021-04-25,Polska,27137,45022.0,3101.0,4507.0,195426,0
2021-04-26,Polska,26935,44218.0,3041.0,4502.0,193781,0
2021-04-27,Polska,25591,43774.0,2945.0,4467.0,187087,0
2021-04-28,Polska,24667,43498.0,2895.0,4439.0,202361,0
2021-04-29,Polska,23469,43058.0,2831.0,4405.0,197693,0
2021-04-30,Polska,22415,42377.0,2723.0,4360.0,185680,0
2021-05-01,Polska,21209,40851.0,2652.0,4265.0,166019,0
