date,year,total,age,short,location
2011-01-17,2011,10.0,Y20-39,PL82,podkarpackie
2011-01-17,2011,16.0,Y20-39,PL63,pomorskie
2011-01-17,2011,11.0,Y20-39,PL71,łódzkie
2011-01-17,2011,10.0,Y20-39,PL72,świętokrzyskie
2011-01-17,2011,19.0,Y20-39,PL81,lubelskie
2011-01-17,2011,36.0,Y40-59,PL43,lubuskie
2011-01-17,2011,8.0,Y20-39,PL84,podlaskie
2011-01-17,2011,39.0,Y20-39,PL9,mazowieckie
2011-01-17,2011,1238.0,Y40-59,PL,Polska
2011-01-17,2011,83.0,Y40-59,PL21,małopolskie
2011-01-17,2011,163.0,Y40-59,PL22,śląskie
2011-01-17,2011,90.0,Y40-59,PL41,wielkopolskie
2011-01-17,2011,64.0,Y40-59,PL42,zachodniopomorskie
2011-01-17,2011,0.0,UNK,PL81,lubelskie
2011-01-17,2011,14.0,Y20-39,PL62,warmińsko-mazurskie
2011-01-17,2011,0.0,UNK,PL72,świętokrzyskie
2011-01-17,2011,358.0,TOTAL,PL82,podkarpackie
2011-01-17,2011,0.0,UNK,PL63,pomorskie
2011-01-17,2011,108.0,Y40-59,PL51,dolnośląskie
2011-01-17,2011,7683.0,TOTAL,PL,Polska
2011-01-17,2011,636.0,TOTAL,PL21,małopolskie
2011-01-17,2011,997.0,TOTAL,PL22,śląskie
2011-01-17,2011,605.0,TOTAL,PL41,wielkopolskie
2011-01-17,2011,338.0,TOTAL,PL42,zachodniopomorskie
2011-01-17,2011,193.0,TOTAL,PL43,lubuskie
2011-01-17,2011,583.0,TOTAL,PL51,dolnośląskie
2011-01-17,2011,197.0,TOTAL,PL52,opolskie
2011-01-17,2011,406.0,TOTAL,PL61,kujawsko-pomorskie
2011-01-17,2011,252.0,TOTAL,PL62,warmińsko-mazurskie
2011-01-17,2011,379.0,TOTAL,PL63,pomorskie
2011-01-17,2011,661.0,TOTAL,PL71,łódzkie
2011-01-17,2011,326.0,TOTAL,PL72,świętokrzyskie
2011-01-17,2011,491.0,TOTAL,PL81,lubelskie
2011-01-17,2011,235.0,TOTAL,PL84,podlaskie
2011-01-17,2011,1026.0,TOTAL,PL9,mazowieckie
2011-01-17,2011,0.0,UNK,PL,Polska
2011-01-17,2011,0.0,UNK,PL21,małopolskie
2011-01-17,2011,0.0,UNK,PL22,śląskie
2011-01-17,2011,0.0,UNK,PL41,wielkopolskie
2011-01-17,2011,0.0,UNK,PL42,zachodniopomorskie
2011-01-17,2011,0.0,UNK,PL43,lubuskie
2011-01-17,2011,0.0,UNK,PL51,dolnośląskie
2011-01-17,2011,0.0,UNK,PL52,opolskie
2011-01-17,2011,0.0,UNK,PL61,kujawsko-pomorskie
2011-01-17,2011,0.0,UNK,PL62,warmińsko-mazurskie
2011-01-17,2011,0.0,UNK,PL71,łódzkie
2011-01-17,2011,27.0,Y40-59,PL52,opolskie
2011-01-17,2011,10.0,Y_LT20,PL21,małopolskie
2011-01-17,2011,43.0,Y40-59,PL62,warmińsko-mazurskie
2011-01-17,2011,76.0,Y_GE80,PL52,opolskie
2011-01-17,2011,148.0,Y_GE80,PL61,kujawsko-pomorskie
