JPT,powiat,70+ lat,12-19 lat,20-39 lat,40-59 lat,60-69 lat,population,total_full,percent full,total_1d,nazwa,wojew,typ_p
JPT_0415032,toruński,563,205,867,1307,663,9026,2998,"33,2",3605,Czernikowo,kujawsko-pomorskie,<20k
JPT_2202043,chojnicki,1623,370,1932,2872,1854,21604,7466,"34,6",8651,Czersk,pomorskie,20k-50k
JPT_0809033,zielonogórski,790,284,1103,1635,1023,10041,4385,"43,7",4835,Czerwieńsk,lubuskie,<20k
JPT_1415032,ostrołęcki,438,50,353,543,426,5054,1584,"31,3",1810,Czerwin,mazowieckie,<20k
JPT_2412013,rybnicki,3290,942,4494,6375,3837,41909,17362,"41,4",18938,Czerwionka-Leszczyny,śląskie,20k-50k
JPT_1420043,płoński,680,118,619,937,621,7608,2440,"32,1",2975,Czerwińsk nad Wisłą,mazowieckie,<20k
JPT_3021042,poznański,2000,1046,3812,5703,3113,27780,13895,50,15674,Czerwonak,wielkopolskie,20k-50k
JPT_1411022,makowski,181,35,221,375,235,2632,916,"34,8",1047,Czerwonka,mazowieckie,<20k
JPT_1211042,nowotarski,555,108,590,912,525,7664,2365,"30,9",2690,Czorsztyn,małopolskie,<20k
JPT_1414022,nowodworski (mazowieckie),695,307,1134,1815,991,9971,4411,"44,2",4942,Czosnów,mazowieckie,<20k
JPT_1819012,strzyżowski,805,144,935,1356,803,11777,3664,"31,1",4043,Czudec,podkarpackie,<20k
JPT_2005042,hajnowski,274,9,67,135,114,1927,549,"28,5",599,Czyże,podlaskie,<20k
