population,total_vacc,new_vacc,total_vacc_2,new_vacc_2,slots_7,slots_30,date,powiat,wojew
118240,86789,939,38252,767,426,591,2021-07-17,sieradzki,łódzkie
52196,37718,253,16751,220,80,414,2021-07-17,sierpecki,mazowieckie
74817,43899,284,19721,243,341,694,2021-07-17,skarżyski,świętokrzyskie
38195,21458,119,9916,92,168,346,2021-07-17,skierniewicki,łódzkie
85105,73066,325,33082,243,299,439,2021-07-17,sochaczewski,mazowieckie
54217,37426,30,16918,27,448,579,2021-07-17,sokołowski,mazowieckie
67466,38305,350,17999,271,120,215,2021-07-17,sokólski,podlaskie
106619,66423,320,31250,210,622,1279,2021-07-17,stalowowolski,podkarpackie
90377,56352,472,25916,374,557,602,2021-07-17,starachowicki,świętokrzyskie
120112,77071,685,34203,525,1297,1878,2021-07-17,stargardzki,zachodniopomorskie
128004,84045,1321,38918,1232,354,673,2021-07-17,starogardzki,pomorskie
72167,31826,308,14450,258,166,1023,2021-07-17,staszowski,świętokrzyskie
74665,50644,281,23333,164,197,333,2021-07-17,strzelecki,opolskie
49366,44296,160,20126,117,766,1685,2021-07-17,strzelecko-drezdenecki,lubuskie
43773,33524,110,15239,67,300,658,2021-07-17,strzeliński,dolnośląskie
61558,24287,91,11593,60,87,390,2021-07-17,strzyżowski,podkarpackie
35297,25846,340,11661,194,178,233,2021-07-17,sulęciński,lubuskie
84255,59508,580,26698,356,276,381,2021-07-17,suski,małopolskie
35792,7856,30,3596,24,0,9,2021-07-17,suwalski,podlaskie
91185,59824,765,26715,673,217,1179,2021-07-17,szamotulski,wielkopolskie
77965,77699,428,34898,295,1103,2162,2021-07-17,szczecinecki,zachodniopomorskie
69885,49670,300,23183,196,621,956,2021-07-17,szczycieński,warmińsko-mazurskie
41569,37256,302,16749,202,102,504,2021-07-17,sztumski,pomorskie
39864,16415,173,7237,130,28,57,2021-07-17,szydłowiecki,mazowieckie
41147,44624,157,20452,129,252,3705,2021-07-17,sępoleński,kujawsko-pomorskie
56409,47764,91,21994,43,258,446,2021-07-17,sławieński,zachodniopomorskie
47101,33611,258,15315,189,204,461,2021-07-17,słubicki,lubuskie
59371,37674,426,16788,336,182,264,2021-07-17,słupecki,wielkopolskie
98816,40783,392,18745,380,217,772,2021-07-17,słupski,pomorskie
53236,12890,127,5744,100,249,681,2021-07-17,tarnobrzeski,podkarpackie
139833,135759,605,63668,434,1798,4651,2021-07-17,tarnogórski,śląskie
201570,83232,725,37438,515,755,1137,2021-07-17,tarnowski,małopolskie
68146,31016,312,14660,261,240,557,2021-07-17,tatrzański,małopolskie
115876,67118,1038,29671,932,252,608,2021-07-17,tczewski,pomorskie
83715,49587,306,22707,194,565,805,2021-07-17,tomaszowski (lubelskie),lubelskie
117259,93879,883,43583,580,1113,1719,2021-07-17,tomaszowski (łódzkie),łódzkie
106935,63977,554,26658,434,297,754,2021-07-17,toruński,kujawsko-pomorskie
84886,53031,300,24186,144,51,96,2021-07-17,trzebnicki,dolnośląskie
48374,34739,81,15588,32,4,10,2021-07-17,tucholski,kujawsko-pomorskie
84101,49004,369,22019,213,253,442,2021-07-17,turecki,wielkopolskie
160130,101150,1174,43849,944,2972,6239,2021-07-17,wadowicki,małopolskie
117007,103538,451,47524,366,155,667,2021-07-17,warszawski zachodni,mazowieckie
56004,29293,89,13687,47,413,1344,2021-07-17,wałbrzyski,dolnośląskie
53462,33391,210,14881,137,144,408,2021-07-17,wałecki,zachodniopomorskie
215908,134610,653,60806,342,2497,5033,2021-07-17,wejherowski,pomorskie
127078,93022,731,40115,477,2540,7829,2021-07-17,wielicki,małopolskie
76699,80431,463,37834,356,328,708,2021-07-17,wieluński,łódzkie
42213,29659,251,13382,123,185,526,2021-07-17,wieruszowski,łódzkie
157616,111946,906,51110,553,2671,8396,2021-07-17,wodzisławski,śląskie
57326,42866,471,20172,403,371,1016,2021-07-17,wolsztyński,wielkopolskie
245357,176974,1207,78587,787,3678,9496,2021-07-17,wołomiński,mazowieckie
47056,38459,202,17039,164,303,678,2021-07-17,wołowski,dolnośląskie
146060,93596,276,43280,180,239,1028,2021-07-17,wrocławski,dolnośląskie
77667,56315,739,25183,681,832,1636,2021-07-17,wrzesiński,wielkopolskie
39065,22623,244,10393,208,269,1362,2021-07-17,wschowski,lubuskie
57248,42277,165,19916,103,29,241,2021-07-17,wysokomazowiecki,podlaskie
74065,53890,573,24248,431,209,948,2021-07-17,wyszkowski,mazowieckie
34413,24193,140,10582,94,40,129,2021-07-17,wąbrzeski,kujawsko-pomorskie
70274,26480,244,11134,186,627,648,2021-07-17,wągrowiecki,wielkopolskie
22873,19209,36,9156,36,0,34,2021-07-17,węgorzewski,warmińsko-mazurskie
66174,39829,617,18398,451,154,577,2021-07-17,węgrowski,mazowieckie
86352,57235,473,26109,298,3975,5597,2021-07-17,włocławski,kujawsko-pomorskie
38668,32450,38,14881,35,157,320,2021-07-17,włodawski,lubelskie
45336,39686,238,17833,205,186,219,2021-07-17,włoszczowski,świętokrzyskie
43816,22904,129,10501,103,148,357,2021-07-17,zambrowski,podlaskie
106935,44185,294,20881,155,45,133,2021-07-17,zamojski,lubelskie
118434,91065,506,41598,386,1070,3287,2021-07-17,zawierciański,śląskie
66766,43319,465,19319,275,161,777,2021-07-17,zduńskowolski,łódzkie
165916,116782,842,53730,682,906,1430,2021-07-17,zgierski,łódzkie
90003,51347,489,23322,318,281,319,2021-07-17,zgorzelecki,dolnośląskie
75750,80804,590,37302,466,1059,3007,2021-07-17,zielonogórski,lubuskie
36328,24416,293,11207,227,89,675,2021-07-17,zwoleński,mazowieckie
65428,49797,316,23055,151,72,208,2021-07-17,ząbkowicki,dolnośląskie
43869,30789,80,13401,50,221,393,2021-07-17,złotoryjski,dolnośląskie
69606,36922,530,16193,277,160,951,2021-07-17,złotowski,wielkopolskie
63000,61504,285,29178,207,373,1369,2021-07-17,Łomża,podlaskie
685285,829448,4296,386238,3306,5545,10483,2021-07-17,Łódź,łódzkie
50103,31968,311,14795,135,142,1943,2021-07-17,łaski,łódzkie
80834,36656,238,17296,215,74,750,2021-07-17,łańcucki,podkarpackie
37104,39425,207,15871,111,254,470,2021-07-17,łobeski,zachodniopomorskie
51000,13800,0,6466,0,296,597,2021-07-17,łomżyński,podlaskie
31023,16103,147,7550,128,56,171,2021-07-17,łosicki,mazowieckie
78616,83511,335,39329,205,704,2400,2021-07-17,łowicki,łódzkie
107449,48995,550,22482,406,268,661,2021-07-17,łukowski,lubelskie
71705,32738,203,14319,116,74,241,2021-07-17,łódzki wschodni,łódzkie
50143,44320,377,19360,312,228,565,2021-07-17,łęczycki,łódzkie
57457,36973,218,17370,142,151,451,2021-07-17,łęczyński,lubelskie
40910,36809,190,17139,153,113,118,2021-07-17,Świnoujście,zachodniopomorskie
50012,36337,205,16642,104,91,207,2021-07-17,Świętochłowice,śląskie
54269,19695,118,9153,88,262,770,2021-07-17,średzki (dolnośląskie),dolnośląskie
58456,56308,770,26714,634,273,530,2021-07-17,średzki (wielkopolskie),wielkopolskie
61325,29606,191,13057,179,783,1189,2021-07-17,śremski,wielkopolskie
157615,88836,506,39698,430,321,627,2021-07-17,świdnicki (dolnośląskie),dolnośląskie
72039,40783,240,19187,185,1013,1835,2021-07-17,świdnicki (lubelskie),lubelskie
47242,32451,185,14903,158,744,2420,2021-07-17,świdwiński,zachodniopomorskie
55840,50419,71,22961,14,492,582,2021-07-17,świebodziński,lubuskie
99281,67791,775,30399,522,303,785,2021-07-17,świecki,kujawsko-pomorskie
62456,57394,514,26207,488,117,314,2021-07-17,Żory,śląskie
79583,61088,612,27766,271,108,320,2021-07-17,żagański,lubuskie
96876,90682,547,42554,493,693,959,2021-07-17,żarski,lubuskie
70413,47076,514,21167,430,40,74,2021-07-17,żniński,kujawsko-pomorskie
38944,24863,185,11374,58,137,271,2021-07-17,żuromiński,mazowieckie
75848,48328,408,21994,286,262,605,2021-07-17,żyrardowski,mazowieckie
153226,93071,663,42352,582,130,563,2021-07-17,żywiecki,śląskie
